SKU,PhotoURL
112708746_096599856,https://resources.cdn-kaspi.kz/img/m/p/p72/p80/53929640.png?format=gallery-large
112708746_414951126,https://resources.cdn-kaspi.kz/img/m/p/p72/p80/53929640.png?format=gallery-large
112725045_842409675,https://resources.cdn-kaspi.kz/img/m/p/ha8/h88/83009548550174.jpg?format=gallery-large
113221206_597116090,https://resources.cdn-kaspi.kz/img/m/p/h9a/h4f/83648569901086.jpg?format=gallery-large
113468450_106539484,https://resources.cdn-kaspi.kz/img/m/p/h25/h4c/83960567496734.jpg?format=gallery-large
113518537_462948675,https://resources.cdn-kaspi.kz/img/m/p/h5c/h24/84011903680542.png?format=gallery-large
113518537_957036830,https://resources.cdn-kaspi.kz/img/m/p/h5c/h24/84011903680542.png?format=gallery-large
113588117_934029071,https://resources.cdn-kaspi.kz/img/m/p/hac/hb6/86532877189150.jpg?format=gallery-large
113624344_090757716,https://resources.cdn-kaspi.kz/img/m/p/h44/hdd/84097886126110.jpg?format=gallery-large
11387707,https://resources.cdn-kaspi.kz/img/m/p/p59/pf7/132329162.jpg?format=gallery-large
114056377_929580212,https://resources.cdn-kaspi.kz/img/m/p/he0/h18/84343964237854.jpg?format=gallery-large
114097991_996642107,https://resources.cdn-kaspi.kz/img/m/p/p22/pc7/14464220.jpg?format=gallery-large
114337762_069179836,https://resources.cdn-kaspi.kz/img/m/p/h99/hf7/84451782492190.jpg?format=gallery-large
114371776_130773016,https://resources.cdn-kaspi.kz/img/m/p/hf1/h5f/84461446070302.jpg?format=gallery-large
114430416_191251900,https://resources.cdn-kaspi.kz/img/m/p/h6e/h85/84472864407582.jpg?format=gallery-large
114521726_778833915,https://resources.cdn-kaspi.kz/img/m/p/pd9/p40/10432510.jpg?format=gallery-large
114656733,https://resources.cdn-kaspi.kz/img/m/p/ha1/h20/85291842568222.jpg?format=gallery-large
114826281_790012306,https://resources.cdn-kaspi.kz/img/m/p/hcb/ha3/84568048271390.jpg?format=gallery-large
114879982_315563968,https://resources.cdn-kaspi.kz/img/m/p/he5/hdb/84582096961566.jpg?format=gallery-large
115193369_803568938,https://resources.cdn-kaspi.kz/img/m/p/h74/h23/84669480566814.jpg?format=gallery-large
115729551_866653539,https://resources.cdn-kaspi.kz/img/m/p/pf4/p8f/41491711.jpg?format=gallery-large
115757290_096159913,https://resources.cdn-kaspi.kz/img/m/p/h2c/hfd/84820160151582.jpg?format=gallery-large
115757332_511530342,https://resources.cdn-kaspi.kz/img/m/p/hc8/haa/84820161855518.jpg?format=gallery-large
115757392_220227329,https://resources.cdn-kaspi.kz/img/m/p/hae/hff/84820233715742.jpg?format=gallery-large
115862542_049744026,https://resources.cdn-kaspi.kz/img/m/p/h18/hd2/84879033204766.jpg?format=gallery-large
116148818_284482288,https://resources.cdn-kaspi.kz/img/m/p/h86/ha5/86592174063646.jpg?format=gallery-large
116150747,https://resources.cdn-kaspi.kz/img/m/p/ped/p7e/130974508.jpeg?format=gallery-large
